"ID"	"ID Hex"	"Name"	"Model Name"	"Holder"	"Desc"
21	"0x15"	"REGIO_UNIT212_6"		"Cioking"	"Cioking Part (Right Leg)"
22	"0x16"	"REGIO_UNIT213_0"		"Shookle"	"Shookle Part (Head)"
23	"0x17"	"REGIO_UNIT213_1"		"Shookle"	"Shookle Part (All Arms)"
24	"0x18"	"REGIO_UNIT213_2"		"Shookle"	"Shookle Part (Two right arms)"
25	"0x19"	"REGIO_UNIT213_3"		"Shookle"	"Shookle Part (Rightmost arm only)"
26	"0x1A"	"REGIO_UNIT214_0"		"Shooshookle"	"Shooshookle Part (Head)"
27	"0x1B"	"REGIO_UNIT214_1"		"Shooshookle"	"Shooshookle Part (All Arms)"
28	"0x1C"	"REGIO_UNIT214_2"		"Shooshookle"	"Shooshookle Part (Two right arms)"
29	"0x1D"	"REGIO_UNIT214_3"		"Shooshookle"	"Shooshookle Part (Rightmost arm only)"
30	"0x1E"	"REGIO_UNIT222_0"		"Goruru"	"Goruru Part (Horn)"
31	"0x1F"	"REGIO_UNIT222_1"		"Goruru"	"Goruru Part (Wing)"
32	"0x20"	"REGIO_UNIT223_0"		"Garuru"	"Garuru Part (Horn)"
33	"0x21"	"REGIO_UNIT223_1"		"Garuru"	"Garuru Part (Wing)"
34	"0x22"	"REGIO_UNIT226_0"		"Manboth"	"Manboth Part (Tooth)"
35	"0x23"	"REGIO_UNIT227_0"		"Manboroth"	"Manboroth Part (Tooth)"
36	"0x24"	"REGIO_UNIT228_0"		"Centura"	"Centura Part (Needle)"
37	"0x25"	"REGIO_UNIT228_1"		"Centura"	"Centura Part (Head)"
38	"0x26"	"REGIO_UNIT229_0"		"Darantula"	"Darantula Part (Needle)"
39	"0x27"	"REGIO_UNIT229_1"		"Darantula"	"Darantula Part (Head)"
40	"0x28"	"REGIO_UNIT230_0"		"Kanogias"	"Kanogias Part (Back)"
41	"0x29"	"REGIO_UNIT230_1"		"Kanogias"	"Kanogias Part (Head Top)"
42	"0x2A"	"REGIO_UNIT230_2"		"Kanogias"	"Kanogias Part (Head Front)"
43	"0x2B"	"REGIO_UNIT230_3"		"Kanogias"	"Kanogias Part (Head Back)"
44	"0x2C"	"REGIO_UNIT231_0"		"Ganodias"	"Ganodias Part (Back)"
45	"0x2D"	"REGIO_UNIT231_1"		"Ganodias"	"Ganodias Part (Head Top)"
46	"0x2E"	"REGIO_UNIT231_2"		"Ganodias"	"Ganodias Part (Head Front)"
47	"0x2F"	"REGIO_UNIT231_3"		"Ganodias"	"Ganodias Part (Head Back)"
48	"0x30"	"REGIO_UNIT226_ICE_A"		"Manboth"	"Manboth Part (Ice 1?)"
49	"0x31"	"REGIO_UNIT226_ICE_B"		"Manboth"	"Manboth Part (Ice when being frozen)"
50	"0x32"	"TRP_ETC001"	"gimc_trp_etc001"		
51	"0x33"	"TRP_ETC002"	"gimc_trp_etc002"		
52	"0x34"	"TRP_ETC003"	"gimc_trp_etc003"		
53	"0x35"	"TRP_ETC004"	"gimc_trp_etc004"		
54	"0x36"	"TRP_CHR50_02"	"gimc_trp_chr50_02"	"majidonga"	"majidonga related (but not loaded?)"
55	"0x37"	"TRP_CHR51_02"	"gimc_trp_chr51_02"	"momoti"	"momoti related (but not loaded?)"
56	"0x38"	"TRP_CHR51_03"	"gimc_trp_chr51_03"	"motiti"	"motiti related (but not loaded?)"
57	"0x39"	"TRP_CHR53_02"	"gimc_trp_chr53_02"	"kacheek desert"	"kacheek desert related (but not loaded?)"
58	"0x3A"	"TRP_CHR53_03"	"gimc_trp_chr53_03"	"kacheek swamp"	"kacheek swamp related (but not loaded?)"
59	"0x3B"	"TRP_CHR53_04"	"gimc_trp_chr53_04"	"kacheek mountain"	"kacheek mountain related (but not loaded?)"
60	"0x3C"	"TRP_CHR53_05"	"gimc_trp_chr53_05"	"kacheek snow"	"kacheek snow related (but not loaded?)"
61	"0x3D"	"TRP_CHR54_01"	"gimc_trp_chr54_01"	"ciokina"	"ciokina related (but not loaded?)"
62	"0x3E"	"TRP_CHR54_02"	"gimc_trp_chr54_02"	"cioking"	"cioking related (but not loaded?)"
63	"0x3F"	"TRP_CHR55_01"	"gimc_trp_chr55_01"	"shookle"	"shookle related (but not loaded?)"
64	"0x40"	"TRP_CHR55_02"	"gimc_trp_chr55_02"	"shooshookle"	"shooshookle related (but not loaded?)"
65	"0x41"	"TRP_CHR56_01"	"gimc_trp_chr56_01"	"dogaeen"	"dogaeen related (but not loaded?)"
66	"0x42"	"TRP_CHR56_02"	"gimc_trp_chr56_02"	"gaeen"	"gaeen related (but not loaded?)"
67	"0x43"	"TRP_CHR57_01"	"gimc_trp_chr57_01"	"parcheek"	"parcheek related (but not loaded?)"
68	"0x44"	"TRP_CHR58_01"	"gimc_trp_chr58_01"	"poocheek"	"poocheek related (but not loaded?)"
69	"0x45"	"TRP_CHR59_01"	"gimc_trp_chr59_01"	"gancheek"	"gancheek related (but not loaded?)"
70	"0x46"	"TRP_CHR60_01"	"gimc_trp_chr60_01"	"dokaknel"	"dokaknel related (but not loaded?)"
71	"0x47"	"TRP_CHR60_02"	"gimc_trp_chr60_02"	"zaknel"	"zaknel related (but not loaded?)"
72	"0x48"	"TRP_CHR61_01"	"gimc_trp_chr61_01"	"goruru"	"goruru related (but not loaded?)"
73	"0x49"	"TRP_CHR61_02"	"gimc_trp_chr61_02"	"garuru"	"garuru related (but not loaded?)"
74	"0x4A"	"TRP_CHR62_01"	"gimc_trp_chr62_01"	"mochichichi"	"mochichichi related (but not loaded?)"
75	"0x4B"	"TRP_CHR62_02"	"gimc_trp_chr62_02"	"fenicchi"	"fenicchi related (but not loaded?)"
76	"0x4C"	"TRP_CHR63_01"	"gimc_trp_chr63_01"	"manboth"	"manboth related (but not loaded?)"
77	"0x4D"	"TRP_CHR63_02"	"gimc_trp_chr63_02"	"manboroth"	"manboroth related (but not loaded?)"
78	"0x4E"	"TRP_CHR64_01"	"gimc_trp_chr64_01"	"centura"	"centura related (but not loaded?)"
79	"0x4F"	"TRP_CHR64_02"	"gimc_trp_chr64_02"	"darantula"	"darantula related (but not loaded?)"
80	"0x50"	"TRP_CHR65_01"	"gimc_trp_chr65_01"	"kanogias"	"kanogias related (but not loaded?)"
81	"0x51"	"TRP_CHR65_02"	"gimc_trp_chr65_02"	"ganodias"	"ganodias related (but not loaded?)"
82	"0x52"	"TRP_CHR66_01"	"gimc_trp_chr66_01"	"dettankarmen"	"dettankarmen related (but not loaded?)"
83	"0x53"	"TRP_CHR66_02"	"gimc_trp_chr66_02"	"zuttankarmen"	"zuttankarmen related (but not loaded?)"
84	"0x54"	"TRP_CHR67_01"	"gimc_trp_chr67_01"	"babatto"	"babatto related (but not loaded?)"
85	"0x55"	"TRP_CHR67_02"	"gimc_trp_chr67_02"	"zubatto"	"zubatto related (but not loaded?)"
86	"0x56"	"TRP_CHR67_03"	"gimc_trp_chr67_03"	"dobatto"	"dobatto related (but not loaded?)"
87	"0x57"	"TRP_CHR68_01"	"gimc_trp_chr68_01"	"uji"	"uji related (but not loaded?)"
88	"0x58"	"TRP_CHR69_01"	"gimc_trp_chr69_01"	"rappata"	"rappata related (but not loaded?)"
89	"0x59"	"TRP_CHR70_01"	"gimc_trp_chr70_01"	"pekkora"	"pekkora related (but not loaded?)"
90	"0x5A"	"TRP_CHR71_01"	"gimc_trp_chr71_01"	"pekkorako"	"pekkorako related (but not loaded?)"
91	"0x5B"	"TRP_CHR50_03"	"gimc_trp_chr50_03"	"kacchindonga"	"kacchindonga related (but not loaded?)"
92	"0x5C"	"TRP_CHR68_02"	"gimc_trp_chr68_02"	"???"	"??? related (but not loaded?)"
93	"0x5D"	"TRP_CHR70_02"	"gimc_trp_chr70_02"	"???"	"??? related (but not loaded?)"
94	"0x5E"	"PRISONER_000"	"gimc030"		"Nonexistent (won’t load)"
95	"0x5F"	"WAREHOUSE_000"	"gimc010"		"Nonexistent (won’t load)"
96	"0x60"	"TORCH_000"	"gimc060"		"Nonexistent (won’t load)"
97	"0x61"	"FORT_000"	"gimc040"		"Nonexistent (won’t load)"
98	"0x62"	"STONEWALL_000"	"gimc050"		"Nonexistent (won’t load)"
99	"0x63"	"VOITURE_000"	"gimc080"		"Nonexistent (won’t load)"
100	"0x64"	"GRASS_000"	"gimc090"		"Nonexistent (won’t load)"
101	"0x65"	"GRASS_001"	"gimc091"		"Nonexistent (won’t load)"
102	"0x66"	"DRUM_000"	"gimc120"		"Pon Drum (animating)"
103	"0x67"	"DRUM_001"	"gimc130"		"Pata Drum (animating)"
104	"0x68"	"DRUM_002"	"gimc140"		"Chaka Drum (animating)"
105	"0x69"	"DRUM_003"	"gimc150"		"Don Drum (animating)"
106	"0x6A"	"DRUM_004"	"gimc490"		"Zigo Drum (animating)"
107	"0x6B"	"HATAPON"	"gimc160"		"Hatapon tutorial P2"
108	"0x6C"	"DRUM"	"gimc162"		"Pata from hatapon (tutorial)"
109	"0x6D"	"FLAG"	"gimc165"		"Hatapon Flag (stand)"
110	"0x6E"	"MAGIC_CIRCLE"	"gimc170"		"(From drum scene?)"
111	"0x6F"	"MAGIC_CIRCLE_LIGHT"	"gimc171"		"Aura from ground, from bottom to top"
112	"0x70"	"MAGIC_CIRCLE_BACK"	"gimc172"		"Dark blue bg (in drum scene?)"
113	"0x71"	"FADE"	"gimc173"		"Fading black screen"
114	"0x72"	"MAGIC_CIRCLE_EFFECT"	"gimc174"		
115	"0x73"	"PIKEMAN"	"gimc180"		"Yaripon exhausted"
116	"0x74"	"GHOST_INFANTRY"	"gimc190"		"Ban Tatepon (P2)"
117	"0x75"	"GHOST_ARCHER"	"gimc200"		"Don Yumipon (P2)"
118	"0x76"	"SPIRITS"	"gimc210"		"Butterfly Spirit (P2)"
119	"0x77"	"RUIN"	"gimc270"		"Broken wagons (P2)"
120	"0x78"	"UFO"	"gimc300"		"Nonexistent (won’t load)"
121	"0x79"	"SEEYOU"	"gimc320"		"Nonexistent (won’t load)"
122	"0x7A"	"AUREOLA"	"gimc330"		"Grey Aura (??)"
123	"0x7B"	"EN_VOITURE_000"	"gimc380"		"Zigoton Wagon"
124	"0x7C"	"EN_VOITURE_001"	"gimc381"		"Zigoton Wagon Break 1"
125	"0x7D"	"EN_VOITURE_002"	"gimc382"		"Zigoton Wagon Break 2"
126	"0x7E"	"DEKAPON_TOWER_000"	"gimc390"		"Dekaton Tower (P1)"
127	"0x7F"	"DEKAPON_TOWER_001"	"gimc391"		"Nonexistent (won’t load)"
128	"0x80"	"DEKAPON_TOWER_002"	"gimc392"		"Nonexistent (won’t load)"
129	"0x81"	"DEKAPON_TOWER_003_1"	"gimc393"		"Dekaton Tower Turbin (P1)"
130	"0x82"	"DEKAPON_TOWER_003_2"	"gimc393"		"Dekaton Tower Turbin (P1)"
131	"0x83"	"DEKAPON_TOWER_004"	"gimc394"		"Dekaton Tower Turbin Holder (P1)"
132	"0x84"	"DEKAPON_TOWER_UP"			
133	"0x85"	"TOWER_000"	"gimc400"		"Dekatower-like Tower (P1)"
134	"0x86"	"TOWER_001"	"gimc401"		"Nonexistent (won’t load)"
135	"0x87"	"TOWER_002"	"gimc402"		"Nonexistent (won’t load)"
136	"0x88"	"CASTLEGATE_000"	"gimc410"		"Nonexistent (won’t load)"
137	"0x89"	"CASTLEGATE_001"	"gimc411"		"Nonexistent (won’t load)"
138	"0x8A"	"CASTLEGATE_002"	"gimc412"		"Nonexistent (won’t load)"
139	"0x8B"	"CASTLEGATE_003"	"gimc420"		"Nonexistent (won’t load)"
140	"0x8C"	"CASTLEGATE_004"	"gimc430"		"Nonexistent (won’t load)"
141	"0x8D"	"CASTLEGATE_005"	"gimc440"		"Nonexistent (won’t load)"
142	"0x8E"	"CASTLEGATE_006"	"gimc441"		"Nonexistent (won’t load)"
143	"0x8F"	"CASTLEGATE_007"	"gimc442"		"Nonexistent (won’t load)"
144	"0x90"	"CASTLEGATE_008"	"gimc443"		"Nonexistent (won’t load)"
145	"0x91"	"MAGIC_GATE_000"	"gimc450"		"Nonexistent (won’t load)"
146	"0x92"	"MAGIC_GATE_001"	"gimc451"		"Nonexistent (won’t load)"
147	"0x93"	"MAGIC_GATE_002"	"gimc452"		"Nonexistent (won’t load)"
148	"0x94"	"MAGIC_GATE_003"	"gimc453"		"Nonexistent (won’t load)"
149	"0x95"	"MAGIC_GATE_004"	"gimc454"		"Nonexistent (won’t load)"
150	"0x96"	"MAGIC_GATE_005"	"gimc455"		"Nonexistent (won’t load)"
151	"0x97"	"MAGIC_GATE_UP"			"Nonexistent (won’t load)"
152	"0x98"	"EN_TANK"	"gimc460"		"Zigozank (P1, P2)"
153	"0x99"	"MEDEN"	"gimc470"		"Nonexistent (won’t load)"
154	"0x9A"	"BAGGAGE"	"gimc520"		"Nonexistent (won’t load)"
155	"0x9B"	"KARMA"	"gimc530"		"Queen Kharma"
156	"0x9C"	"DUMMY_WALL"			
157	"0x9D"	"ED_SUN"	"gimc540"		"Nonexistent (won’t load), P1 Ending?"
158	"0x9E"	"ED_SKY"	"gimc550"		"Nonexistent (won’t load), P1 Ending?"
159	"0x9F"	"ED_WIND"	"gimc551"		"Nonexistent (won’t load), P1 Ending?"
160	"0xA0"	"ED_BG_00"	"gimc552"		"Nonexistent (won’t load), P1 Ending?"
161	"0xA1"	"ED_BG_01"	"gimc553"		"Nonexistent (won’t load), P1 Ending?"
162	"0xA2"	"ED_BG_02"	"gimc554"		"Nonexistent (won’t load), P1 Ending?"
163	"0xA3"	"ED_BG_03"	"gimc555"		"Nonexistent (won’t load), P1 Ending?"
164	"0xA4"	"ED_YARIPON"	"gimc560"		"Nonexistent (won’t load), P1 Ending?"
165	"0xA5"	"ED_HATAPON"	"gimc570"		"Nonexistent (won’t load), P1 Ending?"
166	"0xA6"	"ED_HATA"	"gimc580"		"Nonexistent (won’t load), P1 Ending?"
167	"0xA7"	"ED_KARMA"	"gimc590"		"Nonexistent (won’t load), P1 Ending?"
168	"0xA8"	"WAREHOUSE_001"	"gimc1020"		"Karmen Warehouse (P2)"
169	"0xA9"	"WOODTURRET_000"	"gimc1030"		"Karmen wooden base (P2)"
170	"0xAA"	"ROCKTURRET_000"	"gimc1040"		"Karmen stone base (P2)"
171	"0xAB"	"IRONTURRET_000"	"gimc1050"		"Karmen iron base (P2)"
172	"0xAC"	"PILLBOX_000"	"gimc1060"		"Low base (From P2)"
173	"0xAD"	"DOOR_000"	"gimc1070"		"Floating block with pikes on down"
174	"0xAE"	"DOOR_001"	"gimc1080"		"2 Blocks towards each other, with pikes"
175	"0xAF"	"DOOR_BS_000"	"gimc1090"		"Broken character model"
176	"0xB0"	"DOOR_BS_001"	"gimc1100"		"Broken character model"
177	"0xB1"	"CASTLEFLAG_000_1"	"gimc1170"		"Karmen fortress flag"
178	"0xB2"	"CASTLEFLAG_000_2"	"gimc1170"		"Karmen fortress flag"
179	"0xB3"	"CASTLEFLAG_001_1"	"gimc1171"		"Fortress flag Green (Robomen Tower?)"
180	"0xB4"	"CASTLEFLAG_001_2"	"gimc1171"		"Fortress flag Green (Robomen Tower?)"
181	"0xB5"	"CASTLEFLAG_001_3"	"gimc1171"		"Fortress flag Green (Robomen Tower?)"
182	"0xB6"	"CASTLEFLAG_001_4"	"gimc1171"		"Fortress flag Green (Robomen Tower?)"
183	"0xB7"	"ICEWALL_000"	"gimc1180"		"Ice Cave (P2), background"
184	"0xB8"	"ICEWALL_001"	"gimc1181"		"Ice Cave (P2), top and bottom"
185	"0xB9"	"ICEWALL_002"	"gimc1182"		"Ice Cave (P2), icicles"
186	"0xBA"	"ICEWALL_003"	"gimc1184"		"Ice Cave (P2), icicles dense"
187	"0xBB"	"ICEWALL_004"	"gimc1186"		"Ice Cave (P2), icicles + wall"
188	"0xBC"	"SLING_VOITURE_000"	"gimc1190"		"Patapon Wagon (P1, P2)"
189	"0xBD"	"IRONFACE_000"	"gimc1200"		"Iron Tower"
190	"0xBE"	"GODBIG_000"	"gimc1220"		"Nonexistent (won’t load)"
191	"0xBF"	"GODSMALL_000"	"gimc1230"		"Nonexistent (won’t load)"
192	"0xC0"	"PRINCESS_000"	"gimc1240"		"Patapon Princess"
193	"0xC1"	"RAINBOWEGG_000"	"gimc1250"		"Nonexistent (won’t load), Princess egg?"
194	"0xC2"	"OMENMASK_000"	"gimc1270"		"Ormen Karmen"
195	"0xC3"	"OMENMASK_001"	"gimc1271"		"Ormen Karmen Purple Fog bg"
196	"0xC4"	"OMENMASK_002"	"gimc1272"		"Ormen Karmen Hammer Attk"
197	"0xC5"	"OMENMASK_003"	"gimc1273"		"Ormen Karmen ainmating purple aura"
198	"0xC6"	"HATAPON2_000"	"gimc1280"		"Nonexistent (won’t load)"
199	"0xC7"	"HATA2_000"	"gimc1290"		"Nonexistent (won’t load)"
200	"0xC8"	"YARIPON2_000"	"gimc1300"		"Nonexistent (won’t load)"
201	"0xC9"	"HERO_000"	"gimc1310"		"Nonexistent (won’t load)"
202	"0xCA"	"ENEMY_TANK2"	"gimc1320"		"Zuggagang (Karmen P2)"
203	"0xCB"	"MAGICGATE2_000"	"gimc1330"		"Baban Gate Main Back"
204	"0xCC"	"MAGICGATE2_001"	"gimc1331"		"Baban Gate Front Floor"
205	"0xCD"	"MAGICGATE2_002"	"gimc1332"		"Baban gate bullet small"
206	"0xCE"	"MAGICGATE2_003"	"gimc1333"		"Baban gate bullet (bigger)"
207	"0xCF"	"MAGICGATE2_004"	"gimc1334"		"Baban gate front environment"
208	"0xD0"	"MAGICGATE2_005"	"gimc1335"		"Baban gate Front door + eye"
209	"0xD1"	"MAGICGATE2_006"	"gimc1336"		"Baban gate top light green?"
210	"0xD2"	"MAGICGATE2_007"	"gimc1337"		"Baban gate ???"
211	"0xD3"	"MAGICGATE2_008"	"gimc1338"		"Baban gate ???"
212	"0xD4"	"MAGICGATE2_009"	"gimc1339"		"Baban gate ???"
213	"0xD5"	"MAGICGATE2_010"	"gimc133a"		"Baban gate ???"
214	"0xD6"	"CLOUDGENIE_000"	"gimc1340"		"Nonexistent, (won’t load) P2 cloud boss?"
215	"0xD7"	"CLOUDGENIE_001"	"gimc1341"		"Nonexistent, (won’t load) P2 cloud boss?"
216	"0xD8"	"CLOUDGENIE_002"	"gimc1342"		"Nonexistent, (won’t load) P2 cloud boss?"
217	"0xD9"	"SHIELDGENERATOR_000"	"gimc1350"		"P2 Deity (revived Gong)"
218	"0xDA"	"SHIELDGENERATOR_001"	"gimc1351"		"Nonexistent (won’t load)"
219	"0xDB"	"SHIELDGENERATOR_002"	"gimc1352"		"Nonexistent (won’t load)"
220	"0xDC"	"BLIZZARDTOWER_000"	"gimc1360"		"Blizzard Tower"
221	"0xDD"	"BLIZZARDTOWER_001"			"Blizzard Tower"
222	"0xDE"	"MATANGO_000"	"gimc1380"		"Giant Mushroom Enemy"
223	"0xDF"	"ARMEDWAGON_000"	"gimc1390"		"Karmen Wagon, Meden Capture (P2)"
224	"0xE0"	"ARMEDWAGON_001"	"gimc1391"		"Karmen Wagon Broken 1"
225	"0xE1"	"ARMEDWAGON_002"	"gimc1392"		"Karmen Wagon Broken 2"
226	"0xE2"	"ARMEDWAGON_003"	"gimc1393"		"Karmen Wagon Ballista"
227	"0xE3"	"ROBOTMASKTOWER_000"	"gimc1400"		"Robomen Tower (P2)"
228	"0xE4"	"ROBOTMASKTOWER_001"	"gimc1401"		"Robomen Tower (P2) break 1"
229	"0xE5"	"ROBOTMASKTOWER_002"	"gimc1402"		"Robomen Tower (P2) break 2"
230	"0xE6"	"ROBOTMASKTOWER_003_1"	"gimc1403"		"Robomen Tower (P2) Wind turbin"
231	"0xE7"	"ROBOTMASKTOWER_003_2"	"gimc1403"		"Robomen Tower (P2) Wind turbin"
232	"0xE8"	"ROBOTMASKTOWER_004"	"gimc1404"		"Robomen Tower (P2) Sides"
233	"0xE9"	"SEALROCK_000"	"gimc1430"		"Nonexistent (won’t load)"
234	"0xEA"	"SEALROCK_001"	"gimc1431"		"Nonexistent (won’t load)"
235	"0xEB"	"HEROPATAPON_000"	"gimc1440"		"Nonexistent (won’t load)"
236	"0xEC"	"SLING_TRANS"	"gimc1450"		"Catapult with stone"
237	"0xED"	"OP2_BG_000"	"gimc1460"		"Nonexistent (won’t load)"
238	"0xEE"	"OP2_BG_001"	"gimc1461"		"Nonexistent (won’t load)"
239	"0xEF"	"OP2_BG_002"	"gimc1462"		"Nonexistent (won’t load)"
240	"0xF0"	"OP2_BG_003"	"gimc1463"		"Nonexistent (won’t load)"
241	"0xF1"	"GONE_000"	"gimc1510"		"Gong with Mask (P2)"
242	"0xF2"	"GONE_001"	"gimc1520"		"Gong (P1, P2)"
243	"0xF3"	"ED_FOG"	"gimc1530"		"Nonexistent (won’t load), P2 Ending?"
244	"0xF4"	"ED_RAINBOW"	"gimc1540"		"Nonexistent (won’t load), P2 Ending?"
245	"0xF5"	"ED_GROUND"	"gimc1550"		"Nonexistent (won’t load), P2 Ending?"
246	"0xF6"	"ED_GROUND_BRIDGE"	"gimc1551"		"Nonexistent (won’t load), P2 Ending?"
247	"0xF7"	"ED_BRIDGE"	"gimc1552"		"Nonexistent (won’t load), P2 Ending?"
248	"0xF8"	"ED_BRIDGE_EDGE"	"gimc1553"		"Nonexistent (won’t load), P2 Ending?"
249	"0xF9"	"ED_LAMP"	"gimc1554"		"Nonexistent (won’t load), P2 Ending?"
250	"0xFA"	"ROCKFACE_000"	"gimc052"		"Sand rock low"
251	"0xFB"	"ROCKFACE_001"	"gimc053"		"Sand rock high"
252	"0xFC"	"STONE_000"	"gimc054"		"stones1 (small)"
253	"0xFD"	"STONE_001"	"gimc055"		"stones2"
254	"0xFE"	"SANDBAG"	"gimc057"		"stones3 (with spear)"
255	"0xFF"	"GOAL"	"gimc100"		"MISSION GOAL"
256	"0x100"	"DYING_000"	"gimc110"		"Sad patapon (dying)"
257	"0x101"	"FLOWER"	"gimc250"		"Sunflowers"
258	"0x102"	"FLOWER"	"gimc250"		"Sunflowers"
259	"0x103"	"HONEYCOMB"	"gimc260"		"Honeycomb (P2)"
260	"0x104"	"HONEYCOMB"	"gimc260"		"Honeycomb (P2)"
261	"0x105"	"STELA"	"gimc280"		"Command Tutorial Tomb (P2)"
262	"0x106"	"POISONFLOWER"	"gimc290"		"Pink Flower (P2)"
263	"0x107"	"POISONFLOWER"	"gimc290"		"Pink Flower (P2)"
264	"0x108"	"SPIDER"	"gimc310"		"Spider (P2)"
265	"0x109"	"SPIDER"	"gimc310"		"Spider (P2)"
266	"0x10A"	"SLING"	"gimc350"		"Catapult"
267	"0x10B"	"SLING_BROKEN"	"gimc351"		"Broken Catapult"
268	"0x10C"	"IVY_FLOWER"	"gimc360"		"Tall morning glory (P2)"
269	"0x10D"	"HOSHIPON"	"gimc480"		"Hoshipon (Gold)"
270	"0x10E"	"BILLBOARD"	"gimc500"		"Talking Sign"
271	"0x10F"	"VICTIM_000"	"gimc600"	"Shookle"	"Patapon being eaten"
272	"0x110"	"OEP_0_BODY"	"gimc341"		"WEP"
273	"0x111"	"OEP_1_PON"	"gimc700"		"WEP Icon Pon"
274	"0x112"	"OEP_1_PATA"	"gimc701"		"WEP Icon Pata"
275	"0x113"	"OEP_1_CHAKA"	"gimc702"		"WEP Icon Chaka"
276	"0x114"	"OEP_1_DON"	"gimc703"		"WEP Icon Don"
277	"0x115"	"OEP_2_PON"	"gimc710"		"WEP Icon2 Pon"
278	"0x116"	"OEP_2_PATA"	"gimc711"		"WEP Icon2 Pata"
279	"0x117"	"OEP_2_CHAKA"	"gimc712"		"WEP Icon2 Chaka"
280	"0x118"	"OEP_2_DON"	"gimc713"		"WEP Icon2 Don"
281	"0x119"	"OEP_3_PON"	"gimc720"		"WEP Icon3 Pon"
282	"0x11A"	"OEP_3_PATA"	"gimc721"		"WEP Icon3 Pata"
283	"0x11B"	"OEP_3_CHAKA"	"gimc722"		"WEP Icon3 Chaka"
284	"0x11C"	"OEP_3_DON"	"gimc723"		"WEP Icon3 Don"
285	"0x11D"	"OEP_4_PON"	"gimc730"		"WEP Icon4 Pon"
286	"0x11E"	"OEP_4_PATA"	"gimc731"		"WEP Icon4 Pata"
287	"0x11F"	"OEP_4_CHAKA"	"gimc732"		"WEP Icon4 Chaka"
288	"0x120"	"OEP_4_DON"	"gimc733"		"WEP Icon4 Don"
289	"0x121"	"ROCKFACE_LOW_000"	"gimc1000"		"Rock Structure (Short)"
290	"0x122"	"ROCKFACE_HI_000"	"gimc1010"		"Rock Structure (Tall)"
291	"0x123"	"GRASS_003"	"gimc1110"		"Grass (green)"
292	"0x124"	"GRASS_004"	"gimc1120"		"Grass (dry green)"
293	"0x125"	"GRASS_005"	"gimc1130"		"Grass (red)"
294	"0x126"	"GRASS_006"	"gimc1140"		"Grass (dry red)"
295	"0x127"	"GRASS_007"	"gimc1150"		"Grass (orange)"
296	"0x128"	"GRASS_008"	"gimc1160"		"Grass (dry orange)"
297	"0x129"	"BONE_WALL_S"	"gimc2070"		"Deth Rock Structure (pointy)"
298	"0x12A"	"BONE_GRASS_001"	"gimc2080"		"Grass (Yellow, tall, pikes)"
299	"0x12B"	"BONE_GRASS_002"	"gimc2090"		"Grass (Blue, tall, pikes)"
300	"0x12C"	"BONE_GRASS_003"	"gimc2100"		"Grass (Blue, short)"
301	"0x12D"	"BONE_GRASS_004"	"gimc2110"		"Grass (Pink, short)"
302	"0x12E"	"HERO_SOIL_GRASS"	"gimc4050"	"Bowmunk"	"Grass from bowmunk"
303	"0x12F"	"PIYO_GRASS"	"gimc4050"	"Grass Grower"	"Grass Grower CS"
304	"0x130"	"PIYO_GRASS_END"	"gimc4051"	"Bowmunk"	"Light Aura when Grass is planted"
